Section,Field,Type,Required,Notes
Identity,Full legal name,string,Yes,As per ID
Identity,Date of birth,date,Yes,
Identity,Email,string,Yes,Primary contact
Identity,Mobile,string,Yes,With country code
Identity,Residential address,string,Yes,
Identity,Postal address,string,No,
Identity,TFN,string,Conditional,Mask on display; collect only with consent & for lawful purpose
Identity,ABN (if any),string,No,
Identity,ID documents,file[],Yes,POI: passport/driver licence + secondary per TPB(PN) 5/2022
Employment,PAYG summaries / Income statements (STP),file[],If applicable,
Employment,Allowances & lump sums,string,If applicable,
Investments,Bank interest (per account),number[],If applicable,Gross + tax withheld
Investments,Dividends (statement uploads),file[],If applicable,"Franked/Unfranked, franking credits"
Investments,Managed fund tax statements,file[],If applicable,
Property,Rental property schedule(s),file[],If applicable,"Income, expenses, loan interest, depreciation"
Capital Gains,CGT events summary,file[],If applicable,Shares/crypto/property disposals
Deductions,Work-related expenses,file[],If applicable,Receipts/logbooks; substantiation rules apply
Deductions,Motor vehicle logbook %,number,If applicable,"Start/end ODO, >12 weeks"
Deductions,Home office details,string,If applicable,Method selection (fixed rate/actuals)
Deductions,Donations (DGR),file[],If applicable,Receipts
Super,Personal super contributions,file[],If applicable,Notice of intent (s290-170)
Offsets,Private health cover statement,file[],If applicable,Tiering applies
Other,Spouse details,string,If applicable,Income for offsets
Declarations,Consent to collect/use TFN,checkbox,Yes,Explicit consent + privacy notice
