Section,Field,Type,Required,Notes
Setup,Proposed fund name,string,Yes,
Members,Member details (each),table,Yes,"Name, DOB, address, TFN (consent), % interests"
Trustee,Trustee structure,enum,Yes,Individual or Corporate trustee
Governing,SMSF trust deed (execution),file,Yes,Signed deed
Declarations,Trustee declaration (NAT 71089),file,Yes,Within 21 days of becoming trustee/director
Registrations,ABN/TFN application,string,Yes,Fund ABN & TFN
Banking,Fund bank account details,string,Yes,
Rollovers,Rollover statements,file,If applicable,
Investments,Investment strategy,file,Yes,Regularly reviewed
Auditor,SMSF auditor appointment,string,Yes,ASIC-registered auditor
